TimeStamp,CoinName,OrderType,Price,OrderUuid
2017-10-14T06:28:21.413,BTC-ADA,LIMIT_BUY,0.04999999,f6696d41-f68b-431b-9564-1ae595051ab1
2017-10-13T02:46:30.217,BTC-ETH,LIMIT_SELL,0.04875278,f7bd99d0-0526-4ebe-9e3c-c6645b3595d6
2017-10-13T02:35:50.927,BTC-ETH,LIMIT_BUY,0.04999999,6f9e5853-438b-47c5-98ad-2f4bfd6b2f91
2017-10-13T02:32:54.957,BTC-SC,LIMIT_SELL,0.048125,93345804-6a72-402d-ad33-5a00dba5525b
2017-10-13T01:58:03.053,BTC-QTUM,LIMIT_SELL,0.05042355,3e3674d7-18ef-4fea-aad7-62ab56c68a02
2017-10-13T01:56:15.13,BTC-QTUM,LIMIT_BUY,0.04999999,3df492f8-1599-459c-99b7-3ce0c372543f
2017-10-13T01:43:42.947,BTC-SC,LIMIT_BUY,0.05,5a983f16-4293-4c01-becc-ab05b9924439
2017-10-13T01:17:52.77,BTC-SC,LIMIT_SELL,0.04939023,68d8cd4e-0a80-4eba-b740-4c6f13f1ae11
2017-10-13T00:59:41.737,BTC-BCC,LIMIT_SELL,0.06341386,9a80eb53-5e45-4c05-b154-c9894d532c0d
2017-10-13T00:37:20.89,BTC-BCC,LIMIT_BUY,0.01354561,74ca2413-aa5c-4eb1-b221-d91a22035db8
2017-10-13T00:14:46.4,BTC-BCC,LIMIT_BUY,0.04999999,92f79203-75d3-4f68-98ff-c33149a751f2
2017-10-12T23:41:54.763,BTC-SC,LIMIT_BUY,0.04999999,25972ab0-0840-4c49-b7c1-9ed6e64b7254
2017-10-12T22:44:02.8,BTC-IOP,LIMIT_SELL,0.04991843,826326d6-5b80-48c3-9c4a-32a7e50abf68
2017-10-12T21:29:01.08,BTC-IOP,LIMIT_BUY,0.04999999,11204509-866a-44a4-9958-550267a3d562
2017-10-12T21:23:54.013,BTC-ARK,LIMIT_SELL,0.05045109,a3b63757-2fd8-4ae4-8946-fc24845d6963
2017-10-12T21:10:12.713,BTC-XVG,LIMIT_SELL,0.0505,1e1c79cd-5b6e-47e0-a88d-a42c04bf2ffd
2017-10-12T20:38:41.633,BTC-ARK,LIMIT_BUY,0.04999999,cb47a85c-a508-4f5f-8bc0-eb8918fba3b0
2017-10-12T19:51:08.48,BTC-SC,LIMIT_SELL,0.05060973,9271b9a8-0476-4095-9aa6-7b595110a90e
2017-10-12T19:51:02.26,BTC-XVG,LIMIT_BUY,0.05,8d438f0a-2c80-4449-852d-2559cb6f1c3d
2017-10-12T18:35:08.67,BTC-SC,LIMIT_BUY,0.04999999,0fcfc4cf-57ff-4bec-b204-0450bbc7f19d
2017-10-12T18:42:11.57,BTC-ADA,LIMIT_SELL,0.05042917,f03b7ed1-71eb-4bc8-9594-c29ca970b30b
2017-10-12T18:24:23.103,BTC-ADA,LIMIT_BUY,0.04999999,dd444b0e-bccf-4ee7-9c28-0a56f060fff2
2017-10-12T17:33:59.35,BTC-DASH,LIMIT_SELL,0.05041247,4101e611-1a7e-4b96-9436-5caeaa44573e
2017-10-12T16:33:33.343,BTC-DASH,LIMIT_BUY,0.04999998,39f12ee7-172e-4711-85e5-f5a7d6c96051
2017-10-12T16:15:17.423,BTC-ARK,LIMIT_SELL,0.05104138,a2781bf8-31ea-43be-be6d-5a2c6823cd76
2017-10-12T16:08:25.527,BTC-LTC,LIMIT_SELL,0.05047376,23cf34fc-62e9-43d5-a9fa-bf6f73fecba8
2017-10-12T15:51:58.73,BTC-ARK,LIMIT_BUY,0.04999999,ac1d7a78-7beb-4594-b46e-d4f63cf51882
2017-10-12T15:49:01.727,BTC-MTL,LIMIT_SELL,0.04777793,19ed89a2-a2a4-4cd6-a1ce-2a7b295fc06d
2017-10-12T14:46:48.947,BTC-MTL,LIMIT_BUY,0.04999999,cdb7789f-2b7f-4344-a645-84aa60e3567f
2017-10-12T14:03:05.247,BTC-ADX,LIMIT_SELL,0.0504134,4e63fd63-e9b4-4298-bf5c-7eb613329826
2017-10-12T13:58:59.677,BTC-LTC,LIMIT_BUY,0.04999999,7bacd7c4-edb3-4cae-a13e-7637f4e43f4c
2017-10-12T13:18:54.36,BTC-ADX,LIMIT_BUY,0.04999999,fee28c74-d45b-4d99-b63a-f684dbe938ce
2017-10-12T11:58:12.357,BTC-OK,LIMIT_SELL,0.05157142,95c68e2a-477b-4150-b89c-6421778b6986
2017-10-12T11:51:02.067,BTC-ETH,LIMIT_SELL,0.05044798,b324b5cd-07f8-43db-9e6c-ba0e461ec5bf
